id,lon,lat,stationType
161,-99.164913,19.405533,BIKE
162,-99.162485,19.404907,BIKE
163,-99.156431,19.405246,BIKE
164,-99.16596,19.403204,BIKE
165,-99.160503,19.404268,BIKE
166,-99.183549,19.406069,BIKE
167,-99.179375,19.404651,BIKE
168,-99.1776,19.403997,"BIKE,TPV"
169,-99.174934,19.403019,BIKE
170,-99.184342,19.404029,BIKE
171,-99.178199,19.402584,BIKE
172,-99.181553,19.403365,BIKE
173,-99.176398,19.401682,BIKE
174,-99.16164,19.44111,"BIKE,TPV"
175,-99.172645,19.400806,BIKE
176,-99.152286,19.442689,BIKE
177,-99.181692,19.408841,BIKE
178,-99.180457,19.406833,"BIKE,TPV"
179,-99.171438,19.404452,BIKE
180,-99.169953,19.404554,BIKE
181,-99.175095,19.404976,BIKE
182,-99.17139,19.402089,"BIKE,TPV"
183,-99.16402,19.43767,BIKE
184,-99.18508,19.41479,"BIKE,TPV"
185,-99.1828,19.4128,BIKE
186,-99.18875,19.41249,BIKE
187,-99.18551,19.41123,BIKE
188,-99.19014,19.41171,"BIKE,TPV"
189,-99.18798,19.41004,BIKE
190,-99.183833,19.409569,BIKE
191,-99.18795,19.4079,BIKE
192,-99.190755,19.42592,"BIKE,TPV"
193,-99.190733,19.425907,BIKE
194,-99.180334,19.424282,"BIKE,TPV"
195,-99.185147,19.424926,"BIKE,TPV"
196,-99.192904,19.438349,BIKE
197,-99.204316,19.440077,"BIKE,TPV"
198,-99.203888,19.438168,"BIKE,TPV"
199,-99.197241,19.437934,BIKE
200,-99.188785,19.437596,BIKE
201,-99.187215,19.437431,BIKE
202,-99.198943,19.43617,BIKE
203,-99.194832,19.435985,BIKE
204,-99.19152,19.435882,BIKE
205,-99.184713,19.435525,BIKE
206,-99.201419,19.435798,BIKE
207,-99.183322,19.434861,BIKE
208,-99.189835,19.434182,BIKE
209,-99.206359,19.435478,BIKE
210,-99.194091,19.434076,BIKE
211,-99.188528,19.433607,BIKE
212,-99.188096,19.433567,"BIKE,TPV"
213,-99.206967,19.435197,BIKE
214,-99.20322,19.434353,BIKE
215,-99.19968,19.43384,BIKE
216,-99.195746,19.433419,"BIKE,TPV"
217,-99.183605,19.432888,"BIKE,TPV"
218,-99.188033,19.432451,BIKE
219,-99.207808,19.433542,BIKE
220,-99.205727,19.432655,BIKE
221,-99.201565,19.431799,"BIKE,TPV"
222,-99.195774,19.431417,BIKE
223,-99.191613,19.431242,"BIKE,TPV"
224,-99.188065,19.431255,BIKE
225,-99.185612,19.431172,BIKE
226,-99.18222,19.431033,BIKE
227,-99.207373,19.431791,BIKE
228,-99.19912,19.427705,"BIKE,TPV"
229,-99.203331,19.430515,BIKE
230,-99.200074,19.430098,BIKE
231,-99.19349,19.42977,BIKE
232,-99.185389,19.42894,BIKE
233,-99.196965,19.429314,"BIKE,TPV"
234,-99.191539,19.42783,BIKE
235,-99.20218,19.42933,BIKE
236,-99.20243,19.42944,BIKE
237,-99.193986,19.426744,"BIKE,TPV"
238,-99.193752,19.426765,BIKE
239,-99.181355,19.430153,BIKE
240,-99.2063,19.43855,"BIKE,TPV"
241,-99.20758,19.43862,BIKE
242,-99.20105,19.440344,BIKE
243,-99.196712,19.440839,BIKE
244,-99.193315,19.440885,BIKE
245,-99.190368,19.438165,BIKE
246,-99.179835,19.434147,BIKE
247,-99.180565,19.432102,BIKE
248,-99.177399,19.43175,BIKE
249,-99.177569,19.429877,BIKE
250,-99.17966,19.429057,"BIKE,TPV"
251,-99.17538,19.429261,BIKE
252,-99.17702,19.427575,BIKE
253,-99.177924,19.425835,"BIKE,TPV"
254,-99.16007,19.43935,BIKE
255,-99.161808,19.437159,BIKE
256,-99.15816,19.4372,BIKE
257,-99.16622,19.4338,BIKE
258,-99.1791,19.4167,BIKE
259,-99.15468,19.43757,BIKE
